error_pair,suggested_category,count
extrinsic→intrinsic,intrinsic_extrinsic_boundary,27
intrinsic→extrinsic,negation_or_contradiction,26
intrinsic→extrinsic,intrinsic_extrinsic_boundary,21
extrinsic→intrinsic,negation_or_contradiction,18
intrinsic→no,missed_hallucination,13
no→extrinsic,false_hallucination_alarm,13
no→intrinsic,negation_or_contradiction,12
no→extrinsic,negation_or_contradiction,12
extrinsic→no,missed_hallucination,12
no→intrinsic,false_hallucination_alarm,10
intrinsic→no,negation_or_contradiction,6
extrinsic→intrinsic,numerical_or_unsupported_value,6
extrinsic→no,negation_or_contradiction,5
intrinsic→extrinsic,numerical_or_unsupported_value,1
extrinsic→intrinsic,temporal_or_date_error,1
intrinsic→extrinsic,temporal_or_date_error,1
no→extrinsic,numerical_or_unsupported_value,1
