id,shuffled_from_id,original_context,context
006a5e3f-7761-436b-808c-e57293a96b03,16b77706-4d51-4a7a-9f9f-a795546c83f3,"Thời kỳ 1911-1936, nhân khẩu Trung Quốc tăng từ 410 triệu lên 530 triệu, mỗi năm tăng trưởng 1,03%. Mặc dù trong thời kỳ kháng chiến từng xuất hiện giảm dân số song đến cuối năm 1949 vẫn đạt 540 triệu. Từ thời kỳ Dân Quốc, mô hình nhân khẩu Trung Quốc bắt đầu chuyển biến từ thời đại truyền thống tỷ suất sinh cao, tỷ suất tử cao, tỷ suất tăng trưởng thấp, sang tỷ suất sinh cao, tỷ suất tử thấp, tỷ suất tăng trưởng cao, nguyên nhân là tiến bộ kinh tế-xã hội và y học thời kỳ Dân Quốc. Do chiến loạn nên khả năng kháng cự tai họa của xã hội giảm sút, thiên tai nhân họa gây nên lượng lớn người tử vong phi tự nhiên.","Đã có bốn doanh nghiệp của Trump phải đệ đơn xin phá sản theo Điều 11 Luật Phá sản Mỹ. Theo một báo cáo của Forbes năm 2011, nguyên nhân đều do việc kinh doanh khách sạn và sòng bạc tại Thành phố Atlantic gặp quá nhiều nợ nần, bao gồm Trump Taj Mahal (1991), Trump Plaza Hotel (1992), Trump Hotels & Casino Resorts (2004) và Trump Entertainment Resorts (2009). Trump nói rằng ""Tôi đã vận dụng luật của nước mình để giảm bớt nợ... Chúng ta sẽ lập công ty. Chúng ta sẽ đệ đơn phá sản. Chúng ta sẽ thương lượng với ngân hàng. Chúng ta sẽ có một thỏa thuận tuyệt vời. Bạn biết đấy, như trong The Apprentice vậy. Đây không phải là chuyện cá nhân. Đây là chuyện làm ăn"". Ông chỉ ra rằng các ""doanh nhân vĩ đại"" khác cũng làm như vậy."
013db737-b4ea-47d0-b58c-e446e0bef9a4,8ef0b9fb-0170-4c4f-96bc-afa0bc299e82,"Kể từ đầu thế kỷ XX, sự phát triển của các ngành chế tạo, khai mỏ, và các lĩnh vực dịch vụ đã chuyển đổi Canada từ một nền kinh tế nông thôn mức độ lớn sang nền kinh tế đô thị hóa, công nghiệp. Giống như nhiều quốc gia phát triển khác, ngành công nghiệp dịch vụ chi phối kinh tế Canada, cung cấp việc làm cho khoảng ba phần tư lực lượng lao động toàn quốc. Tuy nhiên, Canada có sự khác biệt về tầm quan trọng của khu vực sơ khai, mà trong đó các ngành đốn gỗ và dầu mỏ là hai trong số các thành phần nổi bật nhất.","Trần Nhật Lễ, con của Cung Tĩnh vương Trần Nguyên Dục (陳元育) được chọn làm người kế thừa đại thống. Nhật Lễ không phải là con của Nguyên Dục mà mẹ Lễ vốn là cô đào, vợ của kép hát Dương Khương (楊姜). Bà múa vở Vương mẫu hiến bàn đào, thân người rất đẹp nên Nguyên Dục si mê, buộc bà phải bỏ Dương Khương mà về làm vợ mình, nhưng lúc đó bà đã mang thai Lễ. Sau khi Nhật Lễ sinh ra, Nguyên Dục tự nhận làm con mình. Đến khi Dụ Tông bệnh nặng, truyền ngôi cho Nhật Lễ để kế thừa. Thật ra, lúc đó triều thần không muốn thế mà muốn lập Cung Định vương Trần Phủ lên thay, nhưng Hiến Từ hoàng thái hậu lại nghĩ đó là cháu mình, khăng khăng lập Nhật Lễ nên quần thần đều nghe theo. Nhật Lễ lên ngôi, tôn Thái hậu làm Thái hoàng thái hậu, Trần Nguyên Trác làm Thượng tướng quốc thái tể. Sau này, Thái hoàng thái hậu biết chuyện của Nhật Lễ, hết sức thất vọng mà muốn phế truất Lễ nên Lễ ra tay trước, cho người ngầm bỏ độc giết chết Thái hậu."
019f1adc-f925-4634-afb5-9274c97977d5,65d49745-607e-44c6-8e9d-faec65bb83ba,"Đạo luật Quyền Tối thượng năm 1559 buộc tất cả viên chức công phải chấp nhận quyền kiểm soát của nhà vua trên giáo hội. Nhiều Giám mục từ chối ủng hộ lập trường của Elizabeth bị bãi chức và được thay thế bởi những chức sắc ủng hộ Nữ vương. Bà bổ nhiệm Hội đồng Tư vấn mới, không còn có sự hiện diện của các thành viên Công giáo. Dưới triều Elizabeth, tình trạng chia rẽ và tranh chấp do bè phái giảm thiểu đáng kể. Cố vấn trưởng của Nữ vương, Sir William Cecil, đảm nhiệm chức Bộ trưởng Ngoại giao, và Sir Nicholas Bacon làm Quan Chưởng ấn.","Từ năm 1923 đến năm 1926, Tôn và Quốc Dân Đảng đã sử dụng thành phố như một căn cứ để truy tố một cuộc cách mạng mới ở Trung Quốc bằng cách chinh phục các lãnh chúa ở phía bắc. Mặc dù trước đây Sun phụ thuộc vào các lãnh chúa cơ hội, người đã dẫn ông ta tới thành phố, với sự lãnh đạo của Tưởng Giới Thạch, Quốc Dân Đảng đã phát triển sức mạnh quân sự của mình để phục vụ cho tham vọng của mình. Những năm Canton đã chứng kiến sự tiến triển của Quốc Dân Đảng vào một phong trào cách mạng với sự tập trung quân sự mạnh mẽ và cam kết về ý thức hệ, tạo ra âm điệu của ĐCSTQ của Trung Quốc vượt ra ngoài năm 1927."
01b816e4-6c24-44f1-8750-aac944d1699a,a9282713-53c4-40cb-90fa-d4437f4a1924,"Tuy Washington chưa bao giờ được vào biên chế lục quân Anh mà ông mong ước nhưng trong những năm tháng chiến tranh đó, người thanh niên này đã tích lũy những kỹ năng về lãnh đạo, chính trị và quân sự quý giá. Ông luôn tiếp cận quan sát các chiến thuật quân sự của người Anh, nắm bắt và hiểu rõ các điểm yếu và điểm mạnh của người Anh. Điều này đã được chứng minh là vô giá trong suốt cuộc Cách mạng Mỹ sau này. Ông chứng tỏ là một người can đảm và kiên cường trong những tình huống cực kỳ khó khăn nhất trong đó có các vụ tai biến và tháo lui. Ông đã phát triển ra một phong cách chỉ huy: đem hết sức lực, khả năng chịu đựng và sự dũng cảm của mình vào trận chiến. Đối với các chiến sĩ của mình, ông xuất hiện như một vị chỉ huy tự nhiên và họ tuyệt đối tuân lệnh ông mà không thắc mắc điều gì. Washington học cách tổ chức, huấn luyện và kỷ luật các đơn vị trung đoàn và đại đội của mình. Qua đọc sách, quan sát và các cuộc trò chuyện với những sĩ quan nghiệp vụ, ông học được những căn bản về chiến thuật chiến trường cũng như hiểu rõ các vấn đề tổ chức và tiếp vận. Ông hiểu biết tổng thể về chiến lược, đặc biệt là việc tìm ra những địa điểm địa lý chiến lược. Sử gia Ron Chernow có ý kiến rằng vì Washington chán nản khi thương nghị với các viên chức chính phủ trong suốt cuộc xung đột nên ông đã tán thành những lợi ích của một chính phủ quốc gia mạnh mẽ với một cơ quan hành chính mạnh mẽ để có thể đạt được kết quả; các sử gia khác có chiều hướng gán ghép ông có thái độ này đối với chính phủ khi ông phục vụ Chiến tranh Cách mạng Mỹ sau này.[Ghi chú 1] Ông nảy sinh một ý tưởng rất tiêu cực về giá trị của địa phương quân. Coi họ có vẻ không đáng tin cậy, rất bất kỉ luật, và chỉ phục vụ rất ngắn hạn khi so sánh với quân chính quy. Mặt khác, kinh nghiệm chỉ huy của ông có giới hạn nhiều nhất là 1 ngàn binh sĩ và chỉ ở những địa hình biên cương xa xôi khắc hẳn với những tình thế đô thị mà ông đối diện trong suốt cuộc cách mạng ở các thành phố Boston, New York, Trenton và Philadelphia.","Sau Cách mạng Tân Hợi lật đổ triều đại Thanh, Trung Quốc rơi vào tình trạng cát cứ địa phương và hỗn chiến quân phiệt. Năm 1913, nhằm đổi lấy viện trợ và thừa nhận của Nga cho Chính phủ Bắc Dương, Viên Thế Khải ký kết ""Hiệp ước Trung-Nga-Mông"". Từ đó, thế lực người Nga xâm nhập Ngoại Mông Cổ. Cùng năm, Chính phủ Bắc Dương nhằm giải quyết vấn đề quốc khố trống rỗng nên đã vay từ tổ chức ngân hàng của năm quốc gia Anh, Pháp, Đức, Nga, Nhật tổng cộng 25 triệu bảng, đồng thời đồng ý lấy thuế muối, thuế hải quan để thế chấp, giao công việc quản lý muối cho người ngoài quản lý, bị nhìn nhận là làm mất chủ quyền, quốc gia chịu nhục. Ngày 29 tháng 5 năm 1914, Nhật Bản gây áp lực khiến Viên Thế Khải ký kết ""Biện pháp thi hành giảm thuế vận chuyển hàng hóa Trung-Nhật giữa Nam Mãn Châu và Triều Tiên"", thương nghiệp khu vực Đông Bắc do đó bị người Nhật lũng đoạn. Sau Cách mạng Thứ hai, Viên Thế Khải sợ Nhật Bản viện trợ cho Tôn Trung Sơn, do đó đặc phái hai nhân vật là Tôn Bảo Kỳ, Lý Thịnh Đạc sang Nhật Bản điều đình, Nhật Bản nhân cơ hội này đề xuất quyền xây dựng năm tuyến đường sắt tại Đông Bắc làm yêu sách. Tháng 7 năm 1914, Chiến tranh thế giới thứ nhất bùng phát, tháng 9 cùng năm Nhật Bản tuyên chiến với Đức. Lúc đầu, Viên Thế Khải tuyên bố Trung Quốc trung lập, đồng thời cấm chỉ Đức và Nhật giao chiến trên lãnh thổ Trung Quốc, song do bị Nhật Bản uy hiếp nên sau đó phải thừa nhận miền đông tỉnh Sơn Đông là khu vực giao chiến. Sau khi quân đội Nhật Bản đổ bộ tại Sơn Đông, họ không tập trung binh lực tiến công quân Đức mà hướng về phía tây chiếm lĩnh toàn tuyến đường sắt Sơn Đông từ Thanh Đảo đến Tế Nam. Đương thời, Trung Quốc bị cô lập và không có viện trợ, Anh và Nga đều ngầm chấp thuận Nhật Bản xâm nhập Trung Quốc, Hoa Kỳ dù đồng tình với Trung Quốc song không muốn đối lập với Nhật Bản:108-109. Ngày 7 tháng 1 năm 1915, Chính phủ Bắc Dương yêu cầu quân Nhật triệt thoái về nước, hoặc tạm thời lưu trú tại Thanh Đảo. Nhật Bản thấy các quốc gia Âu Mỹ không rảnh để chú ý đến Viễn Đông, lại thấy được dã tâm xưng đế của Viên Thế Khải, ngày 8 tháng 1 công sứ Nhật Bản tại Trung Quốc đề xuất Yêu cầu 21 điều với Viên Thế Khải, quân Nhật chiếm lĩnh Thanh Đảo cho đến năm 1922. Ngày 14 tháng 3 năm 1917, Trung Quốc và Đức đoạn tuyệt quan hệ, ngày 14 tháng 8 cùng năm Chính phủ Bắc Kinh ban bố ""Bố cáo Đại tổng thống"" của Phùng Quốc Chương, chính thức tuyên chiến với Đức, Áo. Ngày 15 tháng 9 năm 1919, Trung Quốc tuyên bố kết thúc chiến tranh với Đức, song Trung Quốc với tư cách nước chiến thắng lại không bảo vệ lợi ích quốc gia tại Hội nghị hòa bình Paris, Trung Quốc yêu cầu thu hồi chủ quyền bán đảo Sơn Đông bị Đức cưỡng chiếm, song Anh, Pháp, Ý lại chuyển lợi ích của Đức cho Nhật Bản, dẫn tới Phong trào Ngũ Tứ. Đại biểu Trung Quốc chỉ có thể cự tuyệt ký kết hòa ước để kháng nghị."
02401e3a-2ace-45fb-b324-c4bfbe3410c7,eeb89a69-f44c-4088-8e30-21c8dc32af93,"Đất dành cho trồng trọt và chăn nuôi làm hạn chế không gian của các loài hoang dã bản địa. Tuy nhiên, các hàng rào cây từ xưa được sử dụng để giữ và phân giới đất trở thành một nơi nương tựa cho các thực vật hoang dã bản địa. Hệ sinh thái này trải dài khắp vùng thôn quê và đóng vai trò là một mạng liên kết các tàn dư vẫn được bảo tồn của hệ sinh thái từng bao phủ đảo. Các khoản trợ cấp theo Đạo luật Nông nghiệp Cộng đồng hỗ trợ tiến hành nông nghiệp theo cách bảo tồn môi trường hàng rào cây, và đang được cải cách. Chính sách này trong quá khứ từng trợ cấp cho hoạt động nông nghiệp có khả năng tàn phá, như không hạn chế sử dụng bừa bãi thuốc trừ sâu và phân bón; song các cải cách dần đưa ra các yêu cầu môi trường và yêu cầu khác.","Bắc Kinh (北京) có nghĩa là ""Kinh đô phía bắc"", phù hợp với truyền thống chung của Đông Á khi kinh đô được dứt khoát đặt tên như chính nó. Các thành phố có kiểu tên tương tự là Nam Kinh (南京 Nánjīng, có nghĩa là ""Kinh đô phía nam""), Tokyo (東京, ""Đông Kinh"" theo chữ Hán), Đông Kinh (東京 Dōngjīng, có nghĩa là ""Kinh đô phía đông"", ngày nay là Hà Nội); cũng như Kyoto (京都, ""Kinh Đô"") và Kinh Thành, (京城 - có nghĩa là ""kinh đô"", ngày nay là Seoul), Tây Kinh (西京 Xījīng, nghĩa là ""Kinh đô phía tây"", nay là Lạc Dương). Ở Trung Quốc, thành phố này có nhiều lần được đặt tên lại. Giữa thời gian từ 1368 đến 1405, và sau đó lại một lần nữa từ 1928 đến 1949, thành phố này có tên là Bắc Bình (北平; bính âm: Beiping; Wade-Giles: Pei-p'ing), có nghĩa ""hòa bình phía bắc"" hay ""bình định phía bắc"". Trong cả hai trường hợp, tên được đổi - bằng cách bỏ từ ""kinh"" - để phản ánh hiện thực là kinh đô đất nước đã chuyển đến Nam Kinh, lần đầu tiên dưới thời Hồng Vũ hoàng đế nhà Minh, và lần thứ hai dưới thời Chính phủ Quốc dân của Trung Hoa Dân Quốc, lúc đó Bắc Kinh không phải là kinh đô của Trung Hoa."
0246525a-0073-4316-ac9c-997e3d0b1ea0,3ab9a8f4-3aa4-4411-8e99-469c353767eb,"Quốc hội, theo hiến pháp là cơ quan đại biểu cao nhất của nhân dân, cơ quan quyền lực Nhà nước cao nhất của nước Cộng hòa xã hội chủ nghĩa Việt Nam. Quốc hội là cơ quan duy nhất có quyền lập hiến và lập pháp. Nhiệm vụ của Quốc hội là giám sát, quyết định những chính sách cơ bản về đối nội và đối ngoại, các nhiệm vụ kinh tế, xã hội, quốc phòng, an ninh, những nguyên tắc chủ yếu của bộ máy Nhà nước, về quan hệ xã hội và hoạt động của công dân. Trên 90% đại biểu quốc hội là Đảng viên Đảng Cộng sản Việt Nam nên quốc hội không có độc lập từ đảng, tuân thủ gần tuyệt đối các quy định của Đảng (tại các nước khác nhóm đại biểu chiếm đa số trong quốc hội cũng thường từ một đảng hay liên minh chính trị quyết định đường lối chính sách), tuy nhiên sau thời Đổi mới, vai trò của Quốc hội đẩy lên cao hơn. Nhiệm kỳ Quốc hội là 5 năm. Chủ tịch Quốc hội được Quốc hội bầu do đề cử của Ban Chấp hành Trung ương. Chủ tịch Quốc hội hiện nay (từ năm 2016) là bà Nguyễn Thị Kim Ngân.","Những nỗ lực nhằm thống nhất thế giới bằng chinh phục quân sự hay bằng cách mạng đã không thành công. Quốc gia dân tộc trở thành cơ sở quan trọng nhất trong thế giới phương tây [cần dẫn nguồn]. Các đế quốc thực dân ở thế kỷ thứ XIX dựa trên quốc gia dân tộc, vốn từng kiểm soát phần lớn những vùng đất đai sinh sống của các sắc dân bộ lạc. Các quốc gia dân tộc thống nhất với nhau thành liên bang trong thế kỷ XX. Trong thời gian giữa hai cuộc chiến tranh thế giới, Liên đoàn các quốc gia không thể đóng vai trò to lớn trong việc ngăn chặn chiến tranh. Sau chiến tranh thế giới thứ hai, Liên hiệp quốc (cũng không có vai trò gì nhiều) đã tìm cách giải quyết nhiều vấn đề mà từng nước riêng biệt không thể giải quyết. Liên đoàn quốc gia và Liên hiệp quốc phụ thuộc vào ý nguyện tham gia và kinh phí đóng góp tự nguyện của các quốc gia thành viên. Các tổ chức đó không thể hoạt động mà không có được sự ủng hộ của các quốc gia lớn, như đã từng xảy ra trong thập kỷ 1920 và 1930 và trong thời gian Chiến tranh lạnh. Nhiều quốc gia không chính xác (về mặt quy cách) là quốc gia dân tộc, nhưng tồn tại như nhiều dân tộc (hạ Saharan châu Phi), hay chỉ có một tỷ lệ nhỏ của một dân tộc bên trong biên giới lãnh thổ của họ (như tại các nước Ả rập)."
0377d17d-52f2-4cf8-9fa2-4b5518bbe36e,26edc790-02e8-4070-900f-5a0dd212461a,"Đạo luật Quyền Tối thượng năm 1559 buộc tất cả viên chức công phải chấp nhận quyền kiểm soát của nhà vua trên giáo hội. Nhiều Giám mục từ chối ủng hộ lập trường của Elizabeth bị bãi chức và được thay thế bởi những chức sắc ủng hộ Nữ vương. Bà bổ nhiệm Hội đồng Tư vấn mới, không còn có sự hiện diện của các thành viên Công giáo. Dưới triều Elizabeth, tình trạng chia rẽ và tranh chấp do bè phái giảm thiểu đáng kể. Cố vấn trưởng của Nữ vương, Sir William Cecil, đảm nhiệm chức Bộ trưởng Ngoại giao, và Sir Nicholas Bacon làm Quan Chưởng ấn.","Từ quyển của Sao Hải Vương giống với Sao Thiên Vương. Từ trường của nó nghiêng một góc lớn 47° so với trục tự quay và lệch ra khỏi tâm hành tinh 13.500 km (khoảng 0,55 lần bán kính). Trước khi Voyager 2' bay qua Sao Hải Vương, người ta cho rằng trục từ quyển của Sao Thiên Vương bị nghiêng lớn là do trục tự quay của hành tinh nghiêng với góc lớn. Nhưng khi so sánh từ trường của hai hành tinh với nhau, các nhà khoa học nhận ra rằng hướng của trục từ trường được đặc trưng bởi các dòng chất lỏng bên trong các hành tinh. Từ trường có thể được sinh ra bởi sự đối lưu của các chất lỏng dẫn điện bên trong một lớp vỏ mỏng hình cầu (chất lỏng này có lẽ chứa amoniac, mêtan và nước) tương tự như hoạt động của các dynamo phát điện."
039d1c83-71ef-45a1-a471-7e82c05d5585,72f59cd8-1f83-456a-8c81-212df9939589,"Những tuyên bố mới dành chủ quyền ở châu Nam Cực đã không được xét tới từ 1959 và châu Nam Cực được xem là trung lập về chính trị. Tình trạng pháp lý của nó được quy định qua hiệp ước châu Nam Cực 1959 và những thỏa hiệp tương tự, mà cùng được gọi chung là Hệ thống hiệp ước châu Nam Cực. Châu Nam Cực được định nghĩa là vùng đất và những Thềm băng nằm phía nam của 60° S. Hiệp ước châu Nam Cực đã được 12 nước ký, trong đó có Liên Xô (bây giờ là Nga), Vương quốc Anh, Argentina, Chile, Úc, và Hoa Kỳ. Nó được xem là vùng đất nghiên cứu khoa học và bảo vệ môi trường, và cấm các hoạt động quân sự ở đây. Hiệp ước này là thỏa hiệp kiểm soát vũ khí đầu tiên được hình thành trong thời kỳ chiến tranh lạnh.","Trong nửa cuối thế kỷ XIX, ảnh hưởng của Pháp đối với hội họa thế giới trở nên quan trọng hơn, với sự phát triển của các phong cách hội họa mới như trường phái ấn tượng và trường phái tượng trưng. Các họa sĩ ấn tượng nổi tiếng nhất trong giai đoạn này là Camille Pissarro, Édouard Manet, Edgar Degas, Claude Monet và Auguste Renoir. Thế hệ thứ nhì các họa sĩ theo phong cách ấn tượng có Paul Cézanne, Paul Gauguin, Toulouse-Lautrec và Georges Seurat, họ cũng ở thế tiên phong về tiến triển mỹ thuật, cùng với các họa sĩ theo trường phái dã thú là Henri Matisse, André Derain và Maurice de Vlaminck. Lúc khởi đầu thế kỷ XX, xu hướng lập thể được phát triển bởi Georges Braque và một họa sĩ người Tây Ban Nha sống tại Paris là Pablo Picasso. Một số họa sĩ nước ngoài khác cũng định cư hoặc làm việc tại khu vực Paris là Vincent van Gogh, Marc Chagall, Amedeo Modigliani và Wassily Kandinsky."
03b56636-ee1f-4613-b2e6-d2756f047c43,79decfed-3595-4c3f-a52c-8b11e2a6b51c,"Giám mục Roma được gọi là Giáo hoàng, và Roma là nơi quan trọng từ thời kỳ đầu của Cơ Đốc giáo do hai tông đồ Pedro và Paulo tử đạo tại đây. Các giám mục của Roma cũng được nhìn nhận là những người kế thừa của Pedro. Thành phố do đó tăng tầm quan trọng với vị thế là trung tâm của Giáo hội Công giáo. Sau khi Đế quốc Tây La Mã sụp đổ vào năm 476, Roma ban đầu nằm dưới quyền kiểm soát của Odoacer và sau đó là bộ phận của Vương quốc Ostrogoth trước khi qua tay Đông La Mã sau Chiến tranh Gothic (535-554), song cuộc chiến này tàn phá thành phố. Dân số Roma suy giảm từ hơn một triệu vào năm 210 xuống 500.000 vào năm 273 và còn 35.000 sau Chiến tranh Gothic, làm giảm quy mô thành phố còn một nhóm các toà nhà có người ở nằm rải rác trên một khu vực lớn các tàn tích và vườn tược.","HIStory thì tạo ra một không khí đầy mơ tưởng. Nội dung của album tập trung vào sự gian khổ và kiên trì đấu tranh của Jackson trong quá trình sản xuất. Bài hát new jack swing-funk-rock ""Scream"" và ""Tabloid Junkie"", cùng với bản ballad R&B ""You Are Not Alone"" là lời đáp trả những bất công và nỗi cô đơn mà ông cảm nhận, đồng thời là sự phẫn nộ trước những soi mói thái quá của giới truyền thông. Trong bản ballad ""Stranger in Moscow"", Jackson than thở về ""sự mê muội đắm say"", trong khi ""Earth Song"", ""Childhood"", ""Little Susie"" và ""Smile"" mang giai điệu pop opera. Với ""D.S."", Jackson chỉ trích Tom Sneddon như một kẻ chống lại xã hội, kẻ coi người da trắng là thượng đẳng, ưu việt. Invincible cho thấy Jackson đã phải làm việc vất vả với nhà sản xuất Rodney. Đó là bản thu âm tập hợp nhạc urban soul như các bài ""Cry"", ""The Lost Children"", những bản ballad như ""Speechless"", ""Break of Dawn"" và ""Butterflies"", pha trộn thêm hip-hop, pop, rap trong ""2000 Watts"", ""Heartbreaker"" và ""Invincible""."
03d6b900-4274-4c9d-960e-fd17b74e7838,e3aae625-9f1c-490b-bc4f-912de1c52f65,"Sau nhiều năm tranh chấp chính quyền và các nhà cai trị không có thực lực, nhà Đông Hán dần suy vong. Ở một quốc gia coi Khổng giáo là quốc giáo, là bộ quy tắc ứng xử quan trọng nhất mà quyền lực thật sự lại không nằm trong tay các đồ đệ chân chính của Khổng Tử. Guồng máy nhà nước đã không được vận hành theo một cơ cấu hợp lý bởi thiếu những bộ óc lãnh đạo xứng đáng, và hệ quả tất yếu của nó là sự suy đồi của nền kinh tế. Thương nghiệp thoái hóa, cơ cấu kinh tế, nông nghiệp hoàn toàn bị phá vỡ bởi sự lộng hành của quý tộc địa chủ. Số lượng tiền tệ giảm bớt. Vàng gần như biến mất. Chinh phạt liên miên (đánh người Khương ở miền bắc, dẹp khởi loạn trong nước…) khiến quân phí tăng vọt (mấy mươi năm triều An đế, quân phí lên tới 70 triệu quan), do đó bắt buộc triều đình càng phải gia tăng thuế vụ, nhân dân bị bần cùng hóa.","Đạo luật Quyền Tối thượng năm 1559 buộc tất cả viên chức công phải chấp nhận quyền kiểm soát của nhà vua trên giáo hội. Nhiều Giám mục từ chối ủng hộ lập trường của Elizabeth bị bãi chức và được thay thế bởi những chức sắc ủng hộ Nữ vương. Bà bổ nhiệm Hội đồng Tư vấn mới, không còn có sự hiện diện của các thành viên Công giáo. Dưới triều Elizabeth, tình trạng chia rẽ và tranh chấp do bè phái giảm thiểu đáng kể. Cố vấn trưởng của Nữ vương, Sir William Cecil, đảm nhiệm chức Bộ trưởng Ngoại giao, và Sir Nicholas Bacon làm Quan Chưởng ấn."
